id,node_type
7,qualifiedStaticTypeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
67,Dot UP
111,actualArgument|expression|chain|chainOrigin|functionCall DOWN
11,identifier|Label DOWN
204,Echo DOWN
123,If DOWN
36,interpolatedStringPart|StringPart DOWN
79,OpenSquareBracket DOWN
181,topStatement|functionDeclaration DOWN
113,expression|string UP
55,assignmentOperator|Eq UP
117,assignable|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
162,Minus DOWN
33,actualArgument|expression|string UP
16,CloseRoundBracket DOWN
46,memberAccess DOWN
128,IsEqual DOWN
14,actualArguments|arguments UP
172,assignmentOperator|Concaequal UP
2,innerStatement|statement|globalStatement UP
147,As UP
38,interpolatedStringPart|chain|chainOrigin|chainBase|keyedVariable|VarName UP
179,Function UP
56,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
215,topStatement|statement|whileStatement UP
41,actualArgument|expression|string|SingleQuoteString DOWN
189,Break UP
140,New DOWN
202,expressionList|expression|constant|literalConstant|stringConstant|Label DOWN
137,expression|newExpr DOWN
183,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Exit UP
58,expression|chain|chainOrigin|functionCall UP
70,actualArgument|expression|constant|literalConstant|numericConstant|Decimal DOWN
88,statement|blockStatement UP
201,topStatement|statement|echoStatement DOWN
13,OpenRoundBracket UP
143,innerStatement|statement|foreachStatement DOWN
63,actualArgument|expression UP
182,constantInititalizer|constant|literalConstant|numericConstant|Decimal UP
146,chain|chainOrigin|chainBase|keyedVariable|VarName UP
6,globalVar|VarName UP
32,DoubleQuote UP
44,ObjectOperator UP
78,assignable|chain|chainOrigin|chainBase|keyedVariable DOWN
74,squareCurlyExpression DOWN
107,formalParameterList DOWN
121,elseStatement UP
130,expression|constant|literalConstant|stringConstant|Label UP
139,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
173,Return UP
29,innerStatement|statement|expressionStatement UP
102,Colon UP
91,CloseCurlyBracket DOWN
132,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|RequireOnce UP
23,expression DOWN
151,expression|constant|literalConstant|numericConstant|Decimal UP
145,As DOWN
62,expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
90,VarName DOWN
31,CloseRoundBracket UP
192,Break DOWN
65,Dot DOWN
155,Bang DOWN
190,innerStatement|statement|breakStatement UP
71,actualArgument|expression|constant|literalConstant|numericConstant|Decimal UP
35,interpolatedStringPart|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
69,expression|string|SingleQuoteString UP
118,statement|ifStatement UP
195,switchBlock DOWN
150,expression|constant|literalConstant|numericConstant|Decimal DOWN
203,expressionList|expression|constant|literalConstant|stringConstant|Label UP
100,QuestionMark UP
208,expressionList|expression UP
87,OpenCurlyBracket UP
213,innerStatement|statement|echoStatement DOWN
8,functionCallName|classConstant UP
24,Eq DOWN
129,IsEqual UP
105,formalParameter|variableInitializer|VarName UP
163,expression|chain|chainOrigin|chainBase|keyedVariable UP
205,topStatement|statement|emptyStatement|SemiColon DOWN
166,BooleanOr UP
216,topStatement|statement|whileStatement DOWN
75,CloseSquareBracket DOWN
89,statement|blockStatement DOWN
48,keyedFieldName|keyedSimpleFieldName|identifier|Label UP
97,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
30,innerStatement|statement|expressionStatement DOWN
134,arguments DOWN
76,VarName UP
178,blockStatement DOWN
142,innerStatement|statement|foreachStatement UP
45,memberAccess UP
52,ObjectOperator DOWN
198,innerStatement|statement DOWN
125,CloseCurlyBracket UP
68,expression|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
94,innerStatement|statement|ifStatement UP
158,constantInititalizer DOWN
188,topStatement|statement|ifStatement DOWN
120,Else UP
5,SemiColon DOWN
77,assignable|chain|chainOrigin|chainBase|keyedVariable UP
81,parentheses UP
175,innerStatement|statement|returnStatement DOWN
127,LogicalOr UP
10,DoubleColon DOWN
49,chainOrigin|chainBase|keyedVariable|VarName UP
103,expression|parentheses UP
154,Bang UP
153,castOperation|IntType UP
168,IsNotEq UP
160,formalParameter|variableInitializer UP
186,topStatement|statement|expressionStatement DOWN
197,innerStatement|statement UP
92,SemiColon UP
149,Foreach DOWN
209,expressionList|expression DOWN
164,expression|chain|chainOrigin|chainBase|keyedVariable DOWN
108,formalParameter|variableInitializer|VarName DOWN
37,DoubleQuote DOWN
40,Comma DOWN
212,innerStatement|statement|echoStatement UP
191,innerStatement|statement|breakStatement DOWN
115,innerStatementList UP
99,QuestionMark DOWN
138,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
169,BooleanAnd DOWN
210,expressionList|expression|string UP
194,switchBlock UP
83,actualArgument|expression|constant|literalConstant|BooleanConstant DOWN
193,Case UP
50,expression|chain UP
196,identifier|Default UP
187,topStatement|statement|ifStatement UP
47,keyedFieldName|keyedSimpleFieldName|identifier|Label DOWN
28,Ampersand UP
9,functionCallName|classConstant DOWN
64,actualArgument|expression DOWN
98,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
184,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Exit DOWN
207,actualArgument|expression|constant|literalConstant|stringConstant|Label UP
80,CloseSquareBracket UP
95,innerStatement|statement|ifStatement DOWN
86,innerStatementList|innerStatement|statement|expressionStatement DOWN
170,BooleanAnd UP
214,While UP
82,parentheses DOWN
109,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Array UP
43,actualArgument|expression|string|SingleQuoteString UP
12,DoubleColon UP
174,innerStatement|statement|returnStatement UP
60,actualArgument|expression|chain UP
133,arguments UP
180,topStatement|functionDeclaration UP
17,chain|chainOrigin|functionCall UP
199,Echo UP
34,actualArgument|expression|string DOWN
84,actualArgument|expression|constant|literalConstant|BooleanConstant UP
135,New UP
20,identifier|Label UP
167,IsNotEq DOWN
104,expression|parentheses DOWN
54,chainOrigin|chainBase|keyedVariable|VarName DOWN
