id,path
404,67 22 22 23 131
933,39 210 212 115 88 89 91
194,67 22 23 59 98
245,69 22 22 29 30 5
433,57 14 58 22 29 115 116 30 51 54
728,62 174 115 177 178 91
995,92 212 115 88 215 180 181 186 59 98
312,31 14 45 50 29 115 116 30 23 53
492,31 81 118 119 89 116 30 23 24
205,100 22 23 23 59 98
575,125 88 94 115 88 89 91
483,39 113 22 81 82 16
355,6 2 115 116 30 23 24
373,31 14 58 29 115 116 30 23 117
853,31 14 58 22 185 180 181 186 59 15 19
330,93 118 119 82 68
762,43 14 45 50 22 81 82 16
764,12 8 110 111 15 19
452,147 142 143 16
337,31 81 118 119 89 116 30 23 53
493,120 121 122 119 82 23 68
427,55 22 23 137 140
757,31 14 58 22 185 186 5
765,12 8 110 111 15 41
428,55 22 23 137 138
59,55 22 23 51 46 47
297,39 113 114 37
58,55 22 23 51 46 52
235,67 22 22 23 68
299,21 22 23 114 36
681,151 73 77 22 23 53
230,67 22 22 23 66
229,67 22 22 23 65
591,76 160 161 158 159
81,48 45 46 15 41
742,182 157 160 106 180 181 16
98,48 45 46 15 40
354,6 2 115 116 30 23 117
603,69 73 74 75
976,32 113 22 22 185 180 181 186 23 117
311,31 14 45 50 29 115 116 30 23 117
642,80 73 163 22 103 104 16
795,132 58 59 15 111 9 26
298,21 22 23 114 37
987,92 200 180 181 186 23 59 98
217,69 22 103 104 16
573,31 14 58 85 88 94 115 88 89 91
139,48 45 46 15 56
796,132 58 59 15 111 9 10
590,76 160 161 158 162
379,31 14 58 22 23 126
644,156 22 22 103 22 23 169
684,80 73 77 22 23 164 74 79
635,13 103 104 23 23 162
843,92 185 180 181 201 204
844,92 185 180 181 201 202
284,69 22 22 22 29 30 5
23,13 14 17 22 29 30 5
336,31 81 118 119 89 116 30 23 117
200,31 14 58 22 23 99
570,92 29 115 116 95 82 19
866,72 73 77 22 23 164 90
48,48 45 46 15 19
181,62 81 94 95 89 86 23 78 90
82,48 45 46 15 16
733,20 180 181 19
822,102 194 195 116 30 59 15 19
485,31 14 17 22 29 115 116 143 149
376,20 8 58 22 23 126
868,69 73 163 22 185 186 5
345,92 29 115 88 94 95 122 124
978,43 14 58 185 180 181 201 204
727,173 174 115 177 178 91
482,32 113 22 81 82 16
654,13 81 82 23 104 23 68
326,39 113 22 29 115 88 89 91
767,20 8 110 111 15 41
874,151 73 163 22 185 186 5
899,67 22 208 209 65
857,109 58 59 15 19
720,92 29 115 88 94 115 116 175 176
649,31 103 22 23 104 23 164 90
270,71 14 110 14 15 16
77,57 14 58 22 29 30 5
451,147 142 143 117
766,20 8 110 111 15 19
799,31 14 58 185 186 5
729,92 174 115 177 178 91
784,93 187 188 82 19
276,21 22 23 59 15 19
132,62 81 82 16
768,20 8 110 111 15 16
848,92 200 180 181 205
858,109 58 59 15 16
913,13 81 82 23 59 98
974,92 185 180 181 186 23 23 23 114 37
643,129 22 103 104 16
803,71 14 110 14 15 40
158,44 45 46 15 64 23 66
804,71 14 110 14 15 41
258,43 14 58 22 29 30 5
711,62 174 175 5
930,87 88 89 116 30 59 98
721,92 29 115 88 94 115 116 175 68
14,21 22 23 25
13,21 22 23 24
921,199 212 213 211 36
365,31 14 58 22 29 115 116 30 59 9 10
920,199 212 213 211 37
947,31 14 58 22 185 180 181 186 23 78 90
364,31 14 58 22 29 115 116 30 59 9 26
625,129 22 22 81 82 16
637,156 22 22 103 104 16
101,67 63 64 66
498,69 22 81 94 95 89 116 30 23 117
823,102 194 195 116 30 59 15 56
54,21 22 23 53
291,21 22 23 68
506,21 22 23 66
584,42 14 17 22 29 30 5
617,69 22 22 23 23 164 74 79
461,31 14 17 22 29 115 116 30 59 148
927,92 29 115 116 213 204
486,31 14 17 22 29 115 116 143 19
436,57 14 45 50 29 115 116 30 51 54
1002,92 185 180 181 205
648,31 103 22 23 104 19
615,69 22 22 23 165
960,69 22 185 180 181 186 23 53
351,42 14 58 29 30 5
422,139 136 137 134 19
362,92 29 115 116 30 23 59 9 26
143,67 22 23 51 54
424,139 136 137 134 16
944,31 81 215 216 89 116 30 59 15 19
749,183 58 59 15 41
49,48 45 46 15 34 37
50,48 45 46 15 34 35
248,48 45 46 15 34 36
392,62 22 81 82 16
346,92 29 115 88 94 95 122 119 123
698,87 88 89 116 95 82 19
423,139 136 137 134 56
388,129 22 23 66
523,62 22 22 22 22 23 65
363,43 14 58 22 29 115 116 30 59 9 26
