id,token
96,selectaname
190,viewdeletetrash
149,commenus
152,menusmodel
205,echo
71,leftjoinusersasuonuidmcheckedout
43,quote
140,raiseerror
135,setstate
160,xml
44,lowerctitlelike
197,restoretrash
131,state
115,comfrontpage
182,authorize
161,xmlfile
175,defined
58,leftjoincategoriesascconccidccatid
138,!
150,models
194,deletetrash
41,%
11,&
7,(
8,)
53,orderby
187,adminhtml
155,-
32,.
159,/
34,0
102,showdelete
156,1
125,as
221,dbname
154,fromtrash
81,tointeger
52,:
145,jimport
3,;
20,viewcontentfilterorderdir
26,strtolower
10,=
92,items
112,jpathadministrator
2,mainframe
51,?
114,components
117,frontpagephp
64,viewmenufilterorderdir
21,filterorderdir
132,ordering
74,mid
1,global
19,getuserstatefromrequest
228,br
23,search
201,default
37,where
133,9999
35,[
36,]
54,_
185,redirect
27,listlimit
91,loadobjectlist
218,mysqlpassword
75,jrequest
169,_-_
157,component
45,{
46,}
9,db
177,die
203,learntocodeandhelpnonprofits
105,jexit
223,brbr
113,ds
127,sprintf
136,whereidin
61,leftjoinusersasuonuidccheckedout
29,globallistlimit
79,post
14,viewcontentfilterorder
163,parsexmlinstallfile
126,jtext
98,orderbyaname
69,selectcount
225,res
40,getescaped
214,sanitized
72,query
48,count
151,list
167,name
202,freecodecamp
176,restrictedaccess
73,cid
128,itemssuccessfullydeleted
168,&&
97,frommenuasa
24,string
28,getcfg
121,fp
60,leftjoingroupsasgongidcaccess
94,content
118,requireonce
85,selectatitleasname
222,mysqlselectdb
25,jstring
101,htmltrash
109,jtable
143,viewmenu
70,frommenuasm
180,comtrash
78,viewcontent
199,viewtrashmenu
42,false
181,manage
56,selectcountcid
104,invalidtoken
227,printr
87,whereaidin
142,500
111,obj
141,geterrormsg
90,setquery
110,getinstance
88,_)_)
220,conn
15,filterorder
95,type
148,jpathbase
116,tables
6,getdbo
100,else
84,mids
153,model
93,id
47,if
192,case
144,joomlaapplicationcomponentmodel
89,orderbyatitle
183,alertnotauth
158,componentscommenus
17,cmd
22,word
5,::
65,viewmenulimitstart
4,jfactory
211,tainted
210,get
83,cids
226,mysqlfetcharray
33,limitstart
80,jarrayhelper
57,fromcontentasc
86,fromcontentasa
191,break
68,mmenutypemorderingmorderingmname
99,menu
120,tablefrontpage
38,cstate
139,jerror
224,mysqlquery
77,return
129,msg
165,||
166,<>
147,addincludepath
59,leftjoinsectionsassonsidccsectionandsscopecontent
164,data
212,filtersanitizefullspecialchars
229,while
172,function
217,mysqluser
30,limit
188,getvar
195,viewrestoretrash
108,==
216,localhost
119,new
62,viewmenufilterorder
122,intval
130,showrestore
137,_)
219,mysqlconnect
12,EMPTY_TOKEN
66,mpublished
76,getcmd
18,->
103,checktoken
63,mmenutype
189,task
162,japplicationhelper
206,null
178,getuser
39,true
208,safe
13,option
230,mysqlclose
134,updatecontent
16,sectname
123,delete
196,restoreconfirm
170,.=
124,foreach
209,userdata
107,total
184,indexphp
82,array
49,and
204,define
213,filtervar
50,implode
171,row
200,viewtrashcontent
106,or
198,restore
55,snameccnamectitle
67,lowermnamelike
186,getpath
146,jmodel
31,int
215,selectfrom
193,deleteconfirm
207,joomlaapplicationcomponentcontroller
173,METHOD_NAME
179,user
174,jexec
