id,node_type
31,COLON DOWN
13,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
16,stmt|simple_stmt DOWN
17,NEWLINE DOWN
5,CLOSE_PAREN DOWN
12,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
28,stmt|compound_stmt|funcdef DOWN
18,CLOSE_PAREN UP
7,trailer UP
19,NEWLINE UP
1,OPEN_PAREN UP
11,atom|NAME UP
21,suite DOWN
10,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
14,OPEN_PAREN DOWN
23,atom|NAME DOWN
2,parameters UP
32,COLON UP
24,INDENT UP
15,stmt|simple_stmt UP
25,DEDENT DOWN
22,INDENT DOWN
29,NAME DOWN
9,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
20,suite UP
30,NAME UP
3,parameters DOWN
27,stmt|compound_stmt|funcdef UP
8,trailer DOWN
4,typedargslist|tfpdef|NAME DOWN
6,typedargslist|tfpdef|NAME UP
26,DEF UP
