id,path
35,32 27 28 21 22
2,1 2 3 5
29,6 2 27 28 31
1,1 2 3 4
3,6 2 3 5
14,19 20 21 16 13 23
13,19 20 21 22
24,26 27 28 3 4
19,10 7 12 15 20 21 25
26,30 27 28 3 4
22,26 27 28 29
11,10 7 12 15 16 17
25,30 27 28 3 14
7,11 12 13 8 14
4,1 7 8 9
10,1 7 12 15 16 17
27,30 27 28 3 5
32,18 2 27 28 21 17
6,10 7 8 5
5,1 7 8 5
23,26 27 28 3 14
36,32 27 28 21 16 13 23
20,18 7 12 15 20 21 25
15,19 20 21 16 13 8 14
18,24 20 21 16 13 8 9
33,18 2 27 28 21 22
30,6 2 27 28 21 17
28,1 2 27 28 31
34,32 27 28 21 17
8,11 12 13 8 9
16,24 20 21 16 13 23
17,24 20 21 16 13 8 14
21,19 15 20 21 25
9,11 12 13 8 5
31,18 2 27 28 31
12,18 7 12 15 16 17
